,sentiments
8626,positive
12054,positive
9007,positive
6917,positive
2844,neutral
306,negative
13566,positive
4312,positive
5025,neutral
15537,neutral
8586,positive
3175,positive
13465,positive
5106,positive
5820,neutral
777,neutral
16666,positive
819,positive
1296,neutral
2994,positive
16347,positive
10549,positive
829,neutral
1749,neutral
10856,neutral
11326,neutral
11486,positive
9542,neutral
15227,positive
10260,neutral
8344,positive
12891,positive
3932,positive
523,negative
6244,negative
5569,positive
4260,positive
13295,positive
17134,neutral
15951,neutral
7554,neutral
13365,positive
5131,neutral
17287,neutral
14248,neutral
5639,neutral
14290,positive
2834,neutral
10826,positive
17024,positive
10573,positive
12927,neutral
14491,positive
9575,negative
2830,positive
14452,neutral
9736,positive
9515,positive
4480,neutral
7831,positive
14905,neutral
6269,positive
12173,positive
14532,positive
11297,neutral
5570,neutral
16920,positive
7454,positive
5235,neutral
1102,neutral
7289,neutral
16593,neutral
16998,positive
8599,neutral
8225,neutral
5700,positive
7761,positive
2474,neutral
12842,positive
10431,positive
12981,positive
10046,neutral
2710,negative
11152,neutral
3928,positive
3028,neutral
525,positive
6903,positive
12589,positive
12341,neutral
8903,positive
12051,positive
12304,positive
3771,positive
7636,positive
15821,neutral
267,neutral
4197,neutral
9627,positive
8781,neutral
4950,positive
4196,positive
1858,neutral
11435,positive
12772,positive
5921,negative
11409,positive
8130,positive
4958,neutral
9200,positive
1830,positive
6654,positive
1481,positive
3154,neutral
13505,positive
3769,positive
3531,negative
13901,neutral
5579,neutral
15532,positive
10012,positive
13997,positive
11086,positive
15589,positive
8882,positive
2319,neutral
4622,negative
5517,neutral
11713,positive
15746,positive
1878,positive
13608,positive
1380,positive
3973,positive
2505,neutral
13924,positive
3122,positive
12362,positive
3702,positive
11242,neutral
1948,negative
6748,positive
6484,neutral
2548,neutral
15788,neutral
10974,positive
14990,neutral
1788,positive
1568,positive
14780,positive
14628,neutral
1630,neutral
8838,positive
531,positive
4472,positive
7563,positive
1651,neutral
15139,neutral
10398,negative
265,neutral
3251,positive
3854,positive
12651,positive
14143,positive
9057,positive
6593,positive
10439,positive
15057,positive
9213,positive
6936,negative
7959,positive
4700,neutral
3406,neutral
5705,positive
10344,positive
931,positive
5009,neutral
2203,neutral
5786,neutral
12581,positive
3471,positive
15418,positive
8651,neutral
7799,neutral
14947,neutral
76,positive
2820,neutral
16556,positive
13528,positive
7708,positive
13861,positive
7246,neutral
15159,neutral
4002,neutral
15380,neutral
13807,positive
10323,neutral
2375,neutral
3021,neutral
4311,neutral
11096,neutral
6183,neutral
11926,positive
3024,positive
9995,positive
5775,positive
1085,positive
14664,neutral
1724,neutral
1049,positive
7312,neutral
15611,neutral
5644,neutral
17267,positive
15233,positive
14438,positive
1454,neutral
999,positive
964,negative
13165,neutral
13962,positive
9414,positive
13749,neutral
5253,negative
1340,neutral
1300,neutral
13319,neutral
9063,positive
3723,neutral
10763,positive
1471,negative
1743,negative
10139,neutral
14087,neutral
6136,neutral
2082,positive
709,positive
9695,positive
13959,positive
10240,positive
13253,positive
15572,positive
10099,neutral
1561,positive
13781,positive
11923,positive
14390,positive
331,positive
3355,neutral
227,neutral
7361,neutral
5142,neutral
6536,negative
9043,positive
6138,neutral
17198,positive
10114,negative
1712,positive
15415,positive
1956,negative
5420,neutral
9263,positive
9993,neutral
9061,neutral
2294,neutral
10013,neutral
8340,negative
4723,positive
13542,positive
4563,neutral
13942,positive
5574,positive
12418,neutral
2330,negative
10576,positive
3900,positive
12143,positive
1588,neutral
11391,positive
12114,positive
14067,neutral
7828,neutral
13522,neutral
3027,neutral
4364,positive
10170,neutral
14190,positive
17059,positive
1860,positive
6940,positive
9855,positive
7860,negative
12115,positive
12836,positive
1060,neutral
16831,neutral
1943,positive
16826,positive
11520,negative
1908,neutral
14258,positive
7327,positive
16800,positive
5189,negative
701,neutral
8426,neutral
9457,neutral
7104,positive
11499,positive
2392,neutral
154,neutral
14091,positive
10175,positive
8597,positive
9871,positive
7239,neutral
358,neutral
11522,positive
8457,negative
3863,positive
7368,neutral
5206,neutral
12931,neutral
5085,neutral
1466,neutral
10224,neutral
8091,positive
17180,positive
4687,positive
16215,positive
2746,positive
12607,positive
5204,positive
959,neutral
16999,positive
10491,neutral
9218,positive
5642,positive
3772,positive
7268,neutral
14770,positive
1966,negative
8890,positive
2045,positive
3780,neutral
6511,negative
16871,positive
631,neutral
6530,neutral
13770,neutral
8001,neutral
570,neutral
1093,positive
11949,positive
15443,positive
16399,neutral
5500,neutral
1864,positive
5518,neutral
11952,positive
15080,neutral
13114,neutral
13898,positive
9359,positive
16059,positive
11185,neutral
678,positive
5649,positive
8128,neutral
12108,positive
547,positive
5665,neutral
14813,positive
8636,negative
12041,positive
3292,positive
6591,negative
17147,positive
4272,positive
11861,positive
17251,positive
16992,negative
12569,neutral
15407,neutral
14018,positive
9757,negative
575,positive
16641,positive
8139,positive
6126,negative
13853,positive
3230,positive
11011,positive
11196,neutral
5191,neutral
14626,positive
9744,positive
12006,positive
11503,neutral
14034,positive
16904,neutral
13268,positive
815,positive
1871,neutral
6749,neutral
11959,positive
8579,neutral
8830,positive
7105,positive
722,positive
14732,neutral
12024,positive
17073,positive
17121,positive
13025,positive
400,neutral
789,positive
1918,positive
12748,positive
4626,neutral
3537,neutral
3301,positive
3820,neutral
15698,positive
4093,positive
1307,neutral
16088,positive
9186,positive
384,positive
11385,neutral
17331,neutral
9444,positive
8201,neutral
12083,positive
12224,neutral
4773,neutral
7870,positive
10315,positive
8577,positive
12441,neutral
13519,neutral
8638,neutral
17224,neutral
2397,positive
11876,positive
13315,positive
8603,positive
14427,positive
9714,positive
5789,neutral
10744,neutral
6955,neutral
1957,negative
12871,negative
15549,positive
15192,neutral
11854,positive
2833,positive
13078,positive
910,neutral
839,positive
14066,positive
5689,negative
11517,positive
9372,positive
10267,positive
10617,positive
9347,neutral
9731,positive
15516,neutral
15950,neutral
16025,neutral
4686,positive
873,neutral
14549,neutral
12882,positive
17242,positive
10045,neutral
4815,negative
3598,neutral
15,negative
7334,neutral
9401,positive
567,positive
2986,neutral
12738,positive
13070,neutral
1532,neutral
11336,neutral
15657,positive
10745,positive
6418,positive
12628,positive
4876,positive
3902,positive
8805,positive
3183,positive
13958,positive
8839,positive
2404,positive
404,negative
7728,positive
10188,negative
11930,positive
7969,positive
7255,positive
10594,positive
5498,neutral
10148,neutral
4242,neutral
74,neutral
17031,positive
11769,positive
3344,positive
17313,neutral
8878,positive
4326,neutral
11438,neutral
13489,neutral
15853,positive
13987,positive
15534,positive
6838,neutral
3298,positive
2198,neutral
15248,positive
11780,positive
1577,negative
9628,neutral
5069,negative
11202,neutral
15948,positive
12421,neutral
2795,neutral
5750,negative
16589,positive
9201,positive
9375,positive
11692,positive
929,positive
184,positive
16872,positive
87,positive
2274,neutral
9763,neutral
3823,positive
6040,neutral
4234,positive
258,neutral
7932,positive
2767,positive
15768,positive
14277,positive
14381,positive
16250,positive
8296,neutral
6411,positive
3018,positive
2722,positive
9010,positive
3779,positive
3050,positive
4153,neutral
241,positive
17054,neutral
15452,neutral
16302,positive
3508,neutral
512,neutral
12200,neutral
7420,neutral
12179,positive
9461,positive
9406,positive
603,neutral
10559,neutral
8777,positive
4023,positive
3213,positive
2412,neutral
6001,neutral
2074,positive
3095,negative
6376,positive
15902,positive
14113,positive
15576,positive
12606,positive
6592,positive
4003,positive
11672,positive
6943,neutral
15158,positive
13606,positive
11824,positive
6014,neutral
2853,neutral
1821,neutral
13103,neutral
8073,positive
12455,positive
11269,positive
4261,positive
15240,positive
715,neutral
13395,positive
6236,positive
6814,neutral
4390,positive
11924,positive
11398,positive
3081,negative
15848,positive
11473,positive
13276,neutral
5200,positive
14062,positive
11464,neutral
5996,positive
7648,neutral
2921,positive
17173,positive
8554,neutral
13919,positive
6721,positive
14343,negative
8832,positive
13239,neutral
14890,positive
5101,negative
16750,neutral
15113,positive
5712,positive
2791,neutral
10962,positive
229,neutral
14581,neutral
9494,positive
6768,positive
14703,positive
7125,positive
6798,positive
9410,positive
16159,neutral
13072,positive
11853,neutral
6992,positive
6094,neutral
7191,negative
3603,negative
16212,positive
2148,positive
13778,positive
14347,positive
16005,positive
7376,positive
6938,neutral
4778,positive
4662,negative
8526,neutral
8770,neutral
791,neutral
4921,neutral
16058,positive
5547,neutral
8755,neutral
716,positive
5238,neutral
17243,neutral
14409,positive
12884,positive
6137,neutral
7907,positive
5049,positive
3873,neutral
11,negative
9129,positive
14926,positive
5136,positive
572,neutral
7481,negative
9429,positive
9933,neutral
10104,positive
11424,neutral
14571,positive
5324,negative
12284,positive
668,positive
7408,negative
96,neutral
6095,positive
5931,negative
6620,negative
14832,neutral
13551,positive
4569,positive
15664,positive
9507,positive
3687,positive
13219,positive
2629,neutral
5184,negative
14132,positive
11114,positive
342,negative
1754,neutral
5325,neutral
14741,neutral
9298,neutral
13186,neutral
5838,positive
5059,positive
8726,positive
6751,neutral
6569,positive
3379,positive
7803,neutral
12207,positive
6402,neutral
16207,positive
3733,positive
17187,neutral
9118,positive
8450,positive
6159,negative
13222,neutral
3655,positive
16615,neutral
9987,positive
10025,neutral
16548,neutral
1875,negative
16256,neutral
9600,positive
14843,positive
1031,positive
7168,positive
15517,positive
1987,negative
597,positive
69,positive
8445,neutral
5739,positive
12512,positive
7328,positive
906,neutral
13056,positive
12202,positive
9430,positive
813,positive
3527,negative
4388,neutral
662,neutral
11993,positive
8990,neutral
12529,positive
15557,neutral
14118,neutral
11069,neutral
8804,positive
8680,neutral
8943,neutral
12696,neutral
1336,neutral
1735,neutral
415,neutral
1888,positive
12235,positive
16880,positive
14443,neutral
975,positive
8635,positive
14638,neutral
14580,positive
5637,neutral
1265,positive
16908,neutral
17027,positive
15871,negative
12498,neutral
6012,positive
565,positive
1893,neutral
12060,positive
3857,neutral
4531,positive
1278,neutral
5394,neutral
8280,neutral
294,neutral
1219,neutral
3747,positive
1541,neutral
874,neutral
15369,positive
14775,positive
11945,positive
11561,positive
13076,negative
10996,positive
10709,neutral
12706,positive
4575,neutral
318,negative
993,neutral
12256,positive
10283,negative
11248,neutral
3096,positive
6930,negative
3255,positive
8385,positive
5115,neutral
15740,neutral
2080,positive
2613,positive
14240,positive
4819,positive
12835,negative
11872,neutral
2987,positive
16516,positive
607,neutral
11532,positive
15481,neutral
4995,neutral
15124,positive
9360,neutral
10246,neutral
4540,neutral
7387,positive
7928,neutral
13545,positive
481,positive
5685,neutral
9945,positive
14449,positive
16270,negative
3852,positive
14753,positive
15035,positive
15997,positive
12700,positive
3741,negative
5323,neutral
9223,negative
4351,neutral
8384,neutral
14802,neutral
16160,positive
6766,neutral
10952,positive
15540,positive
12600,positive
5052,positive
15134,positive
7005,neutral
6409,neutral
16607,neutral
6729,positive
11526,neutral
16376,positive
2180,neutral
13644,positive
9955,positive
4317,positive
5760,negative
11904,positive
13717,positive
16102,positive
14229,neutral
3110,positive
4103,positive
12538,neutral
8439,positive
16094,positive
1439,positive
10510,positive
12310,positive
6883,positive
1135,positive
12879,positive
8889,neutral
2169,positive
12463,positive
824,neutral
5259,positive
14391,positive
6009,positive
947,neutral
1545,positive
6172,negative
743,positive
4250,neutral
14335,positive
12236,positive
7234,neutral
16069,positive
11593,positive
9370,positive
2854,negative
12550,positive
13783,positive
12806,positive
919,positive
17179,positive
4967,neutral
2882,neutral
13829,positive
3428,positive
421,neutral
15232,positive
6586,positive
12350,positive
4784,neutral
5336,positive
1959,neutral
10739,positive
13166,neutral
3371,positive
16522,neutral
10173,neutral
8613,positive
15590,neutral
2593,neutral
14156,neutral
12831,positive
11972,positive
4587,neutral
11701,positive
12334,positive
7493,positive
3576,positive
963,neutral
12883,positive
17047,positive
11677,positive
9765,neutral
11338,neutral
2619,neutral
2490,positive
1165,neutral
5514,positive
6077,positive
3524,neutral
1503,neutral
4434,neutral
6742,positive
15164,positive
17240,positive
10680,neutral
49,positive
9084,negative
1431,positive
12725,positive
104,positive
2476,positive
9968,neutral
8720,positive
1405,neutral
7528,neutral
16009,positive
15636,negative
16864,neutral
760,positive
9379,positive
10471,neutral
16132,neutral
9048,neutral
5034,neutral
8058,neutral
5749,positive
12018,neutral
7647,neutral
6224,neutral
897,neutral
12178,positive
11501,positive
13339,positive
1041,positive
8394,neutral
13763,neutral
8731,neutral
13147,positive
11470,neutral
9044,positive
8467,neutral
15489,positive
13837,positive
9237,positive
5105,neutral
7494,neutral
10544,positive
10358,neutral
13525,positive
9663,neutral
689,neutral
16505,positive
11351,positive
12168,positive
7659,positive
4971,neutral
4651,neutral
12110,positive
12774,positive
10060,neutral
1727,neutral
7221,positive
9390,positive
2206,positive
4705,positive
8965,positive
2826,neutral
3244,positive
9222,negative
9952,neutral
9861,neutral
8090,positive
12112,positive
912,neutral
6274,positive
1501,positive
12949,neutral
10777,negative
12251,neutral
9374,positive
7130,neutral
9173,positive
2992,positive
17084,positive
6888,positive
2958,positive
2073,positive
5958,positive
16729,positive
2209,positive
5418,negative
15046,positive
12272,neutral
10515,positive
5398,neutral
15603,positive
14420,positive
15204,positive
12846,neutral
3680,positive
15817,positive
7744,neutral
16064,positive
492,positive
12613,positive
8451,positive
579,neutral
6754,positive
3713,positive
5788,neutral
9294,positive
10629,neutral
10299,positive
6733,neutral
5659,positive
4419,neutral
7426,positive
3714,positive
10035,neutral
12154,positive
15171,positive
16106,neutral
13730,positive
14003,positive
9835,positive
9829,negative
12286,positive
13398,neutral
7034,positive
6264,neutral
15795,positive
14221,neutral
3986,positive
14127,positive
1376,neutral
9868,neutral
1030,neutral
15170,neutral
16889,neutral
15012,positive
9076,negative
13716,positive
15801,negative
1771,negative
8256,positive
2939,neutral
6851,positive
12988,positive
11199,neutral
10339,negative
12596,positive
14868,neutral
11307,positive
10881,positive
6529,positive
16847,positive
6229,positive
16960,positive
14160,positive
7501,positive
10328,neutral
13677,positive
16299,positive
16728,neutral
14249,positive
6909,neutral
9431,positive
7911,positive
4637,positive
15091,neutral
8687,neutral
7811,positive
16372,positive
11725,positive
2898,positive
11702,positive
7840,positive
2973,negative
14543,neutral
7930,neutral
1072,negative
2889,neutral
2427,positive
7756,positive
11256,positive
14920,positive
12984,positive
12169,neutral
13250,positive
14162,positive
11247,neutral
10251,neutral
9380,positive
13409,neutral
10151,neutral
9174,positive
15530,neutral
9864,neutral
1149,neutral
6688,negative
1526,positive
6392,negative
7844,positive
14804,positive
11067,negative
10458,positive
14153,positive
14651,positive
11733,positive
13624,neutral
10851,positive
4886,neutral
6642,positive
3950,neutral
17216,neutral
8880,neutral
3333,neutral
16227,positive
3467,negative
11941,positive
10577,neutral
7812,positive
5607,neutral
6085,positive
2356,positive
5889,positive
5918,neutral
17089,positive
1131,positive
11707,neutral
590,neutral
14246,positive
752,positive
14970,neutral
17150,positive
9264,neutral
12136,positive
14610,positive
7818,positive
10876,positive
12199,positive
11225,negative
9688,neutral
7763,positive
600,neutral
4338,negative
8998,neutral
9870,negative
444,positive
16255,positive
2739,neutral
15175,neutral
2531,neutral
10121,neutral
17168,positive
14889,positive
6118,positive
12708,neutral
16755,positive
6973,positive
577,neutral
6570,neutral
663,positive
12247,positive
2333,positive
10352,negative
7436,negative
7757,neutral
4469,neutral
2982,neutral
3605,negative
14433,positive
7181,negative
5753,neutral
14373,neutral
4663,positive
16853,negative
312,negative
15938,positive
14712,neutral
15962,positive
854,neutral
14630,positive
14538,negative
11841,neutral
2518,negative
5452,neutral
11886,positive
6669,neutral
11359,positive
13736,neutral
5027,neutral
10093,positive
11344,neutral
9954,positive
5583,positive
2395,neutral
11663,positive
8354,positive
4729,neutral
11169,neutral
9746,positive
2521,positive
2753,positive
12593,positive
13101,positive
2037,positive
9124,positive
14176,positive
9550,neutral
3256,positive
15319,positive
8662,neutral
11896,positive
6877,negative
15628,positive
11230,neutral
7262,neutral
270,neutral
11382,neutral
10111,neutral
6084,positive
7153,positive
8795,neutral
6396,positive
6707,neutral
4987,neutral
10670,positive
6589,neutral
818,positive
9423,positive
11531,neutral
692,positive
9613,neutral
13247,positive
2117,neutral
7187,positive
12476,positive
16599,positive
4108,positive
11596,positive
12819,positive
11437,positive
13672,positive
2694,neutral
3282,positive
58,positive
12091,positive
12333,positive
12495,neutral
16669,neutral
11728,neutral
7051,neutral
14266,positive
14311,positive
10176,neutral
15859,positive
5211,positive
2167,neutral
697,negative
4515,positive
15289,positive
10966,neutral
4965,positive
17167,neutral
6645,positive
5112,positive
9456,neutral
2562,negative
10362,neutral
5503,positive
10920,positive
9286,positive
15316,positive
3624,positive
3729,neutral
15512,neutral
10614,positive
1933,neutral
9636,positive
6572,positive
15907,positive
9288,positive
17209,positive
4704,positive
15376,positive
16825,positive
16360,positive
405,positive
5630,positive
12332,positive
8092,positive
10924,negative
13159,positive
12549,neutral
9824,neutral
13825,positive
12472,positive
5328,neutral
16434,positive
5809,positive
15706,positive
5930,neutral
17303,neutral
11311,neutral
4160,positive
13621,positive
7274,positive
6021,negative
3438,positive
6985,positive
13164,positive
7996,positive
17101,positive
10889,negative
11741,neutral
15896,neutral
4740,neutral
6865,neutral
12478,positive
7533,neutral
8327,positive
529,positive
9293,positive
183,positive
10703,neutral
1618,negative
10391,positive
4208,positive
12223,positive
16775,neutral
8648,negative
12932,positive
8729,positive
3730,positive
2813,positive
2675,neutral
2332,positive
11749,positive
15862,positive
10157,neutral
1197,positive
3911,neutral
1382,positive
13485,positive
17066,positive
3579,neutral
4647,negative
8464,neutral
9634,positive
16423,positive
16530,neutral
10900,positive
2149,neutral
5880,neutral
13838,neutral
12280,positive
2549,neutral
14824,positive
14883,positive
8746,positive
13575,positive
17204,positive
3151,neutral
15933,positive
16262,positive
714,neutral
10562,negative
14361,positive
15992,positive
2254,positive
11396,positive
12213,positive
17259,positive
10949,neutral
16214,neutral
2620,neutral
549,positive
11527,neutral
7869,positive
3303,positive
15563,positive
16897,neutral
10869,positive
2763,negative
8708,positive
5129,positive
1138,positive
894,positive
1776,positive
11282,positive
16312,neutral
14194,positive
10596,positive
5697,neutral
5248,positive
14419,positive
6495,neutral
6210,negative
12958,positive
5635,neutral
5802,negative
5611,positive
10163,neutral
2529,neutral
3463,neutral
3421,negative
11751,positive
6568,positive
10896,positive
9277,positive
3013,negative
6618,positive
1298,neutral
5103,negative
5168,neutral
13478,positive
15807,positive
14797,neutral
6853,neutral
4513,neutral
2636,positive
983,neutral
15970,positive
1495,neutral
14596,neutral
14076,positive
14012,positive
2963,neutral
7804,positive
10819,neutral
44,neutral
6020,negative
15434,positive
10200,neutral
5678,neutral
2682,negative
10146,neutral
14495,neutral
6542,neutral
16238,neutral
8313,negative
12151,positive
2592,positive
7388,neutral
10058,neutral
3395,positive
16222,neutral
6533,neutral
8170,positive
15753,positive
5471,positive
16369,positive
4553,neutral
7954,positive
15623,positive
8617,positive
1614,positive
3365,neutral
13338,positive
13876,positive
5595,neutral
15296,positive
11337,positive
2099,neutral
461,positive
2991,positive
2873,positive
14842,positive
16164,positive
11637,neutral
15803,neutral
13032,positive
17122,positive
15377,negative
6444,positive
11665,positive
3584,positive
4993,neutral
12262,positive
10711,positive
2313,positive
13892,positive
11764,neutral
4733,neutral
8657,positive
16727,positive
11107,neutral
14928,positive
6623,positive
26,negative
498,positive
14521,positive
4757,neutral
15769,positive
12732,neutral
11210,neutral
16275,positive
4404,neutral
9069,neutral
13601,positive
2297,negative
4928,positive
1529,neutral
15114,positive
14078,positive
4135,negative
15004,positive
13203,neutral
8956,neutral
13449,positive
4807,positive
16392,positive
12986,positive
16990,positive
15458,positive
11494,neutral
16494,positive
12229,neutral
6509,positive
9605,positive
6769,neutral
3232,positive
14375,positive
1337,neutral
3414,positive
14644,positive
11664,positive
11312,neutral
21,negative
4650,neutral
12760,positive
15868,positive
15041,positive
7950,neutral
9474,positive
12148,neutral
9016,neutral
9681,positive
6977,positive
3594,positive
8125,positive
11914,positive
574,positive
14454,positive
10671,positive
538,negative
2648,positive
3918,neutral
1202,positive
15116,positive
5826,positive
8121,positive
16793,positive
7785,positive
8516,positive
1999,positive
11918,positive
17146,neutral
5379,positive
1074,positive
6485,positive
2651,neutral
15466,positive
16507,positive
5175,negative
10286,neutral
10854,neutral
7526,positive
8176,positive
16044,positive
11158,positive
7594,negative
15461,positive
2005,neutral
3850,negative
4767,positive
1188,neutral
8307,neutral
2647,neutral
2166,positive
14414,neutral
15995,positive
11560,neutral
11738,neutral
12737,positive
8159,positive
12614,positive
2352,neutral
2216,neutral
380,positive
9949,positive
13486,positive
9081,neutral
8500,neutral
8420,positive
923,positive
1723,negative
1204,neutral
9258,neutral
13604,neutral
10141,neutral
5954,positive
5780,neutral
8183,neutral
1504,negative
13986,positive
3334,positive
11286,positive
915,negative
13617,positive
16093,neutral
15274,positive
4857,neutral
14392,neutral
14324,positive
16753,positive
148,neutral
10563,positive
1025,positive
13597,positive
15350,neutral
9206,negative
11354,positive
15758,neutral
7145,positive
13433,positive
16902,positive
15633,positive
5481,negative
2261,negative
4004,positive
3117,positive
6294,positive
15790,positive
8133,neutral
4582,positive
15638,positive
4183,neutral
5730,neutral
7422,positive
16792,positive
2968,neutral
16525,neutral
12694,positive
8855,neutral
11491,positive
4212,positive
3810,positive
6763,positive
3745,negative
3694,positive
5794,neutral
9074,neutral
5997,positive
13374,positive
467,neutral
16606,positive
7758,negative
15360,positive
3263,neutral
1342,neutral
10314,neutral
4571,negative
3073,positive
8108,neutral
9262,positive
9874,neutral
13518,neutral
2571,neutral
13842,positive
6101,neutral
4915,positive
15169,positive
8337,neutral
6961,neutral
8258,positive
5120,neutral
13646,neutral
16766,positive
4357,positive
5073,neutral
12226,positive
10084,neutral
2418,neutral
7745,neutral
5232,neutral
2980,positive
8779,positive
3851,neutral
16981,neutral
13267,positive
2256,positive
1629,negative
8196,neutral
9368,positive
9455,neutral
8605,positive
9561,neutral
8588,positive
3212,neutral
13806,neutral
6740,negative
1134,positive
15087,positive
3842,positive
4107,positive
8102,neutral
16833,positive
6953,positive
8859,neutral
15287,positive
7186,positive
7418,positive
1567,neutral
3240,positive
11687,neutral
10183,neutral
12269,neutral
16935,positive
2225,positive
6580,positive
2393,positive
13915,positive
6050,positive
8980,negative
9100,positive
5075,neutral
7577,neutral
11243,positive
12221,positive
9637,positive
8994,neutral
3472,neutral
13427,neutral
6463,positive
7862,neutral
6726,negative
2252,neutral
9311,positive
5395,neutral
12753,positive
14796,positive
4724,positive
3145,positive
5172,neutral
5856,neutral
12492,positive
3651,neutral
1140,neutral
115,neutral
226,neutral
3726,positive
4787,positive
15438,neutral
4454,positive
6404,positive
5851,neutral
6214,positive
1360,negative
9181,positive
4698,negative
6963,positive
15892,positive
15373,positive
8164,positive
1653,neutral
13476,neutral
6034,neutral
4140,negative
13532,positive
11361,positive
9012,neutral
7061,neutral
671,positive
13469,positive
6980,neutral
13140,negative
8215,neutral
14047,positive
12946,positive
13324,positive
8614,neutral
917,positive
3982,neutral
12796,positive
11622,positive
12398,positive
8867,neutral
3896,positive
10897,positive
494,positive
14828,positive
4818,positive
13636,negative
8902,positive
886,neutral
3404,positive
16914,neutral
14540,positive
8447,positive
3454,neutral
3361,neutral
13435,positive
4685,neutral
6281,neutral
11360,negative
12978,positive
3813,neutral
14224,positive
4599,positive
5927,negative
16046,positive
145,negative
7362,positive
7243,neutral
3525,positive
10702,positive
8637,positive
627,neutral
12913,neutral
7403,positive
5877,neutral
14074,positive
10383,positive
8928,negative
10606,positive
15735,neutral
10689,negative
12965,neutral
10927,positive
14572,positive
11992,neutral
495,positive
5108,neutral
1048,positive
15752,positive
12225,positive
9660,neutral
8226,positive
10407,positive
11042,neutral
2747,positive
10622,positive
15331,positive
2191,neutral
12957,positive
10597,positive
317,neutral
14929,positive
222,negative
4827,neutral
6473,neutral
9648,positive
12821,neutral
788,positive
16969,positive
4185,negative
16994,positive
10064,positive
11287,neutral
7992,positive
2170,neutral
7241,positive
11072,neutral
7848,positive
8484,neutral
8097,negative
1521,neutral
3532,positive
801,negative
7609,neutral
9336,neutral
11289,positive
4066,neutral
10628,neutral
15237,neutral
475,negative
8262,positive
3477,neutral
11991,positive
15196,neutral
8401,neutral
10051,neutral
4776,positive
4720,positive
3971,positive
12015,positive
1564,neutral
12469,positive
17166,positive
10939,neutral
16839,positive
11962,neutral
6046,negative
269,neutral
16310,neutral
17139,positive
5361,negative
3862,positive
5181,neutral
2382,positive
7940,neutral
7970,positive
13185,positive
13462,positive
16237,positive
16053,neutral
4168,positive
4770,neutral
4712,negative
8493,positive
14518,positive
3715,neutral
4984,neutral
16181,neutral
10643,positive
4006,positive
3994,neutral
9866,positive
7587,positive
3835,neutral
3241,neutral
15428,positive
3790,neutral
696,neutral
5329,positive
13259,neutral
12096,neutral
9245,positive
5652,negative
13408,positive
4096,positive
13555,positive
5491,negative
4805,neutral
3103,neutral
9593,positive
14202,neutral
16699,positive
13866,neutral
16491,neutral
15876,negative
5978,positive
261,neutral
16091,positive
7119,positive
15674,positive
9217,positive
16471,neutral
11371,positive
3611,neutral
2161,neutral
2915,positive
5822,positive
1252,positive
3250,neutral
12875,neutral
8019,positive
2044,neutral
15190,neutral
2935,neutral
908,neutral
532,neutral
14088,positive
15888,neutral
3152,neutral
36,positive
10733,positive
10335,positive
1810,neutral
15345,positive
12354,positive
12893,positive
14633,positive
6027,positive
13713,positive
15565,positive
14877,positive
38,neutral
1982,neutral
13804,neutral
9745,positive
12104,positive
2106,positive
1480,neutral
14803,positive
8352,positive
15525,positive
626,neutral
1290,positive
14870,positive
9462,positive
2244,positive
13430,positive
1177,neutral
16187,positive
15202,neutral
9703,positive
5071,positive
8030,positive
16183,neutral
15371,neutral
8993,positive
16012,neutral
8930,positive
6782,negative
3206,positive
16155,neutral
10377,neutral
16649,positive
9026,neutral
14198,neutral
9592,positive
12827,positive
12500,neutral
4355,neutral
16805,positive
10872,neutral
1823,neutral
12007,positive
16609,neutral
17153,positive
11374,neutral
11315,positive
4121,neutral
14666,neutral
7881,neutral
12152,positive
718,positive
12347,positive
14980,positive
11968,positive
3514,neutral
506,neutral
5174,positive
4027,neutral
16910,positive
5836,positive
13800,positive
8318,positive
3929,positive
7380,positive
12781,neutral
9816,positive
10701,neutral
997,neutral
4427,neutral
9928,positive
13652,positive
13897,positive
2286,neutral
13468,positive
10686,neutral
1839,negative
4215,positive
13403,positive
13801,positive
16333,neutral
10948,negative
10004,negative
13467,positive
16245,neutral
12551,neutral
2220,neutral
13442,positive
279,positive
3052,neutral
45,positive
15947,positive
14663,positive
6200,positive
2594,positive
6700,positive
3171,positive
14060,neutral
10443,neutral
16303,positive
1412,neutral
15779,positive
5389,positive
11566,negative
8600,positive
8367,negative
7541,positive
8927,neutral
16295,positive
15852,neutral
16236,positive
13920,positive
2524,positive
275,positive
6092,neutral
11081,positive
11847,positive
3266,positive
12189,positive
12793,positive
4415,neutral
7987,neutral
11432,negative
763,positive
3366,positive
15731,positive
75,neutral
5187,negative
8689,neutral
9761,positive
6747,positive
5056,neutral
6640,neutral
3686,positive
13891,neutral
16877,positive
17178,neutral
7096,positive
12309,positive
9393,positive
7842,positive
16683,neutral
10475,neutral
4068,positive
15199,negative
15173,positive
7090,positive
11774,positive
16066,positive
7505,negative
10982,positive
1796,negative
2740,negative
2457,positive
3622,neutral
1704,positive
12176,positive
2363,positive
2606,negative
1859,positive
12353,positive
9356,neutral
11258,neutral
1837,positive
2462,negative
3343,positive
13854,positive
5801,neutral
13035,positive
10803,positive
17208,positive
14811,positive
390,neutral
4077,positive
12769,neutral
4032,neutral
14569,negative
55,neutral
7975,positive
12642,neutral
13984,positive
16201,positive
6986,positive
14708,positive
7793,positive
12987,positive
16384,positive
3791,positive
10919,neutral
8768,neutral
1349,positive
11603,neutral
7400,negative
6524,positive
4431,neutral
8335,negative
3963,positive
